code;name;description;description_short;status
1;Необеспеченные сделки;Необеспеченные сделки;Необеспеченные сделки;enabled
2;Производные финансовые инструменты;Договоры, являющиеся производными финансовыми инструментами и не предназначенные для квалифицированных инвесторов;Производные финансовые инструменты;enabled
3;Договоры репо;Договоры репо, требующие проведения тестирования;Договоры репо;enabled
4;Структурные облигации;Сделки по приобретению структурных облигаций, не предназначенных для квалифицированных инвесторов;Структурные облигации;enabled
5;Инвестиционные паи закрытых ПИФ;Сделки по приобретению инвестиционных паев закрытых паевых инвестиционных фондов, не предназначенных для квалифицированных инвесторов;Инвестиционные паи закрытых ПИФ;enabled
6;Облигации российских эмитентов, которым не присвоен кредитный рейтинг, либо кредитный рейтинг ниже уровня, установленного Советом директоров Банка России;Сделки по приобретению облигаций российских эмитентов, которым (эмитенту которых, лицу, предоставившему обеспечение по которым) не присвоен кредитный рейтинг либо кредитный рейтинг которых (эмитента которых, лица, предоставившего обеспечение по которым) ниже уровня, установленного Советом директоров Банка России;Облигации российских эмитентов, которым не присвоен кредитный рейтинг, либо кредитный рейтинг ниже уровня, установленного Советом директоров Банка России;enabled
7;Облигации иностранных эмитентов, исполнение обязательств по которым обеспечивается или осуществляется за счет юридического лица, не имеющего кредитный рейтинг или кредитный рейтинг которого ниже уровня, установленного Советом директоров Банка России;Сделки по приобретению облигаций иностранных эмитентов, исполнение обязательств по которым обеспечивается или осуществляется за счет юридического лица, созданного в соответствии с законодательством Российской Федерации, не имеющего кредитный рейтинг или кредитный рейтинг которого ниже уровня, установленного Советом директоров Банка России;Облигации иностранных эмитентов, исполнение обязательств по которым обеспечивается или осуществляется за счет юридического лица, не имеющего кредитный рейтинг или кредитный рейтинг которого ниже уровня, установленного Советом директоров Банка России;enabled
8;Облигации со структурным доходом;Сделки по приобретению облигаций со структурным доходом;Облигации со структурным доходом;enabled
9;Акции, не включенные в котировальные списки;Сделки по приобретению акций, не включенных в котировальные списки;Акции, не включенные в котировальные списки;enabled
10;Иностранные акции;Сделки по приобретению иностранных акций, требующие проведения тестирования;Иностранные акции;enabled
11;Паи иностранных ETF;Сделки по приобретению паев иностранных ETF, требующие проведения тестирования;Паи иностранных ETF;enabled
